,Credit_amount,Employment,Age,Housing,Existing_credits,Job,Own_telephone,Foreign_worker,Class
405,2039.0,<1,22.0,own,1,skilled,yes,yes,0
406,2197.0,4<=X<7,43.0,own,2,skilled,yes,yes,1
407,1053.0,<1,27.0,own,1,skilled,none,no,1
408,3235.0,>=7,26.0,own,1,high qualif/self emp/mgmt,yes,yes,1
409,939.0,4<=X<7,28.0,own,3,skilled,yes,yes,0
410,1967.0,>=7,20.0,own,1,skilled,yes,yes,1
411,7253.0,4<=X<7,35.0,own,2,high qualif/self emp/mgmt,yes,yes,1
412,2292.0,unemployed,42.0,own,2,high qualif/self emp/mgmt,yes,yes,0
413,1597.0,1<=X<4,40.0,rent,1,unskilled resident,none,no,1
414,1381.0,1<=X<4,35.0,own,1,skilled,none,yes,0
415,5842.0,>=7,35.0,own,2,skilled,yes,yes,1
416,2579.0,<1,33.0,own,1,unskilled resident,none,yes,0
417,8471.0,1<=X<4,23.0,rent,2,skilled,yes,yes,1
418,2782.0,4<=X<7,31.0,own,1,high qualif/self emp/mgmt,none,yes,1
419,1042.0,1<=X<4,33.0,own,1,skilled,none,yes,0
420,3186.0,4<=X<7,20.0,rent,1,skilled,none,yes,1
421,2028.0,1<=X<4,30.0,own,1,skilled,none,yes,1
422,958.0,4<=X<7,47.0,own,2,unskilled resident,none,yes,1
423,1591.0,4<=X<7,34.0,own,2,high qualif/self emp/mgmt,none,yes,1
424,2762.0,>=7,25.0,own,1,skilled,yes,yes,0
425,2779.0,1<=X<4,21.0,rent,1,skilled,yes,yes,1
426,2743.0,>=7,29.0,own,2,skilled,none,yes,1
427,1149.0,1<=X<4,46.0,own,2,skilled,none,yes,1
428,1313.0,>=7,20.0,own,1,skilled,none,yes,1
429,1190.0,unemployed,55.0,for free,3,unemp/unskilled non res,none,yes,0
430,3448.0,4<=X<7,74.0,own,1,unskilled resident,none,yes,1
431,11328.0,1<=X<4,29.0,own,2,high qualif/self emp/mgmt,yes,yes,0
432,1872.0,unemployed,36.0,for free,3,high qualif/self emp/mgmt,yes,yes,1
433,2058.0,1<=X<4,33.0,own,2,skilled,yes,yes,1
434,2136.0,1<=X<4,25.0,own,1,skilled,none,yes,1
435,1484.0,1<=X<4,25.0,own,1,skilled,yes,yes,0
436,660.0,4<=X<7,23.0,rent,1,unskilled resident,none,yes,1
437,1287.0,>=7,37.0,own,2,skilled,yes,yes,1
438,3394.0,unemployed,65.0,own,2,unemp/unskilled non res,none,yes,1
439,609.0,<1,26.0,own,1,unemp/unskilled non res,none,yes,0
440,1884.0,>=7,39.0,own,1,high qualif/self emp/mgmt,yes,yes,1
441,1620.0,1<=X<4,30.0,own,1,skilled,none,yes,1
442,2629.0,1<=X<4,29.0,own,2,skilled,yes,yes,1
443,719.0,>=7,41.0,own,1,unskilled resident,none,yes,0
444,5096.0,1<=X<4,30.0,own,1,high qualif/self emp/mgmt,yes,yes,0
445,1244.0,>=7,41.0,rent,2,unskilled resident,none,yes,1
446,1842.0,<1,34.0,own,1,skilled,yes,yes,0
447,2576.0,1<=X<4,35.0,own,1,skilled,none,yes,1
448,1424.0,>=7,55.0,own,1,high qualif/self emp/mgmt,yes,yes,1
449,1512.0,1<=X<4,61.0,own,2,skilled,none,yes,0
450,11054.0,1<=X<4,30.0,own,1,high qualif/self emp/mgmt,yes,yes,1
451,518.0,1<=X<4,29.0,own,1,skilled,none,yes,1
452,2759.0,>=7,34.0,own,2,skilled,none,yes,1
453,2670.0,>=7,35.0,own,1,high qualif/self emp/mgmt,yes,yes,1
454,4817.0,4<=X<7,31.0,own,1,skilled,yes,yes,0
455,2679.0,<1,29.0,own,1,high qualif/self emp/mgmt,yes,yes,1
456,3905.0,1<=X<4,36.0,rent,2,skilled,none,yes,1
457,3386.0,>=7,35.0,for free,1,skilled,yes,yes,0
458,343.0,<1,27.0,own,1,skilled,none,yes,1
459,4594.0,<1,32.0,own,1,skilled,yes,yes,1
460,3620.0,1<=X<4,37.0,own,1,skilled,none,yes,1
461,1721.0,<1,36.0,own,1,skilled,none,yes,1
462,3017.0,<1,34.0,rent,1,high qualif/self emp/mgmt,none,yes,1
463,754.0,>=7,38.0,own,2,skilled,none,yes,1
464,1950.0,4<=X<7,34.0,own,2,skilled,yes,yes,1
465,2924.0,1<=X<4,63.0,own,1,skilled,yes,yes,1
466,1659.0,<1,29.0,rent,1,unskilled resident,yes,yes,0
467,7238.0,>=7,32.0,own,2,skilled,none,yes,1
468,2764.0,1<=X<4,26.0,own,2,skilled,yes,yes,1
469,4679.0,4<=X<7,35.0,own,2,unskilled resident,yes,yes,1
470,3092.0,<1,22.0,rent,1,skilled,yes,yes,0
471,448.0,<1,23.0,own,1,skilled,none,yes,0
472,654.0,1<=X<4,28.0,own,1,unskilled resident,none,yes,0
473,1238.0,unemployed,36.0,own,1,high qualif/self emp/mgmt,yes,yes,1
474,1245.0,1<=X<4,33.0,own,1,skilled,none,yes,0
475,3114.0,<1,26.0,rent,1,skilled,none,yes,0
476,2569.0,1<=X<4,24.0,own,1,skilled,none,yes,1
477,5152.0,4<=X<7,25.0,own,1,skilled,none,yes,1
478,1037.0,4<=X<7,39.0,own,1,unskilled resident,none,yes,1
479,1478.0,>=7,44.0,own,2,skilled,yes,yes,1
480,3573.0,1<=X<4,23.0,own,1,unskilled resident,none,yes,1
481,1201.0,<1,26.0,own,1,skilled,none,yes,1
482,3622.0,>=7,57.0,rent,2,skilled,yes,yes,1
483,960.0,4<=X<7,30.0,own,2,skilled,none,yes,1
484,1163.0,1<=X<4,44.0,own,1,skilled,yes,yes,1
485,1209.0,unemployed,47.0,own,1,high qualif/self emp/mgmt,yes,yes,0
486,3077.0,1<=X<4,52.0,own,1,skilled,yes,yes,1
487,3757.0,>=7,62.0,for free,1,skilled,yes,yes,1
488,1418.0,1<=X<4,35.0,rent,1,unskilled resident,none,no,1
489,3518.0,1<=X<4,26.0,rent,1,skilled,none,yes,1
490,1934.0,>=7,26.0,own,2,skilled,none,yes,1
491,8318.0,>=7,42.0,for free,2,high qualif/self emp/mgmt,yes,yes,0
492,1237.0,1<=X<4,27.0,own,2,skilled,none,yes,1
493,368.0,>=7,38.0,own,1,skilled,none,yes,1
494,2122.0,1<=X<4,39.0,rent,2,unskilled resident,none,no,1
495,2996.0,1<=X<4,20.0,own,1,skilled,none,yes,0
496,9034.0,<1,29.0,rent,1,high qualif/self emp/mgmt,yes,yes,0
497,1585.0,4<=X<7,40.0,own,2,skilled,none,yes,1
498,1301.0,>=7,32.0,own,1,unskilled resident,none,yes,1
499,1323.0,>=7,28.0,own,2,skilled,yes,yes,1
500,3123.0,<1,27.0,own,1,skilled,none,yes,0
501,5493.0,>=7,42.0,for free,1,skilled,none,yes,1
502,1126.0,>=7,49.0,own,1,skilled,none,yes,1
503,1216.0,<1,38.0,own,2,skilled,none,yes,0
504,1207.0,<1,24.0,rent,1,skilled,none,yes,0
505,1309.0,1<=X<4,27.0,own,1,unskilled resident,none,yes,0
506,2360.0,1<=X<4,36.0,own,1,skilled,yes,yes,1
507,6850.0,unemployed,34.0,own,1,high qualif/self emp/mgmt,yes,yes,0
508,1413.0,1<=X<4,28.0,own,1,skilled,none,yes,1
509,8588.0,>=7,45.0,own,1,high qualif/self emp/mgmt,yes,yes,1
510,759.0,4<=X<7,26.0,own,1,skilled,none,yes,0
511,4686.0,1<=X<4,32.0,for free,1,high qualif/self emp/mgmt,yes,yes,1
512,2687.0,4<=X<7,26.0,rent,1,skilled,yes,yes,1
513,585.0,1<=X<4,20.0,rent,2,skilled,none,yes,1
514,2255.0,<1,54.0,own,1,skilled,none,yes,1
515,609.0,4<=X<7,37.0,own,2,skilled,none,no,1
516,1361.0,<1,40.0,own,1,unskilled resident,none,no,1
517,7127.0,<1,23.0,rent,2,skilled,yes,yes,0
518,1203.0,>=7,43.0,own,1,skilled,yes,yes,1
519,700.0,>=7,36.0,for free,2,skilled,none,yes,1
520,5507.0,>=7,44.0,for free,2,skilled,none,yes,1
521,3190.0,1<=X<4,24.0,own,1,skilled,none,yes,0
522,7119.0,1<=X<4,53.0,for free,2,skilled,none,yes,0
523,3488.0,4<=X<7,23.0,own,1,skilled,none,yes,1
524,1113.0,1<=X<4,26.0,own,1,unskilled resident,none,yes,1
525,7966.0,<1,30.0,own,2,skilled,none,yes,1
526,1532.0,1<=X<4,31.0,own,1,skilled,none,yes,1
527,1503.0,4<=X<7,42.0,own,2,unskilled resident,none,yes,1
528,2302.0,1<=X<4,31.0,rent,1,skilled,none,yes,0
529,662.0,<1,41.0,own,1,unskilled resident,yes,yes,1
530,2273.0,4<=X<7,32.0,own,2,skilled,none,yes,1
531,2631.0,1<=X<4,28.0,rent,2,skilled,yes,yes,0
532,1503.0,1<=X<4,41.0,rent,1,skilled,none,yes,1
533,1311.0,4<=X<7,26.0,own,1,skilled,yes,yes,1
534,3105.0,<1,25.0,own,2,skilled,none,yes,1
535,2319.0,<1,33.0,rent,1,skilled,none,yes,0
536,1374.0,unemployed,75.0,own,1,high qualif/self emp/mgmt,yes,yes,1
537,3612.0,>=7,37.0,own,1,skilled,yes,yes,1
538,7763.0,>=7,42.0,for free,1,high qualif/self emp/mgmt,none,yes,0
539,3049.0,<1,45.0,own,1,unskilled resident,none,yes,1
540,1534.0,<1,23.0,rent,1,skilled,none,yes,0
541,2032.0,>=7,60.0,for free,2,skilled,yes,yes,1
542,6350.0,>=7,31.0,own,1,skilled,none,yes,0
543,2864.0,1<=X<4,34.0,own,1,unskilled resident,none,yes,0
544,1255.0,>=7,61.0,own,2,unskilled resident,none,yes,1
545,1333.0,unemployed,43.0,for free,2,skilled,none,yes,0
546,2022.0,1<=X<4,37.0,own,1,skilled,yes,yes,1
547,1552.0,4<=X<7,32.0,own,1,skilled,none,yes,1
548,626.0,1<=X<4,24.0,own,1,unskilled resident,none,yes,0
549,8858.0,4<=X<7,35.0,for free,2,skilled,yes,yes,1
550,996.0,4<=X<7,23.0,own,2,skilled,none,yes,1
551,1750.0,>=7,45.0,own,1,unskilled resident,none,yes,1
552,6999.0,4<=X<7,34.0,own,2,skilled,yes,yes,0
553,1995.0,<1,27.0,own,1,skilled,none,yes,1
554,1199.0,4<=X<7,67.0,own,2,high qualif/self emp/mgmt,yes,yes,1
555,1331.0,<1,22.0,own,1,skilled,none,yes,0
556,2278.0,<1,28.0,own,2,skilled,none,yes,0
557,5003.0,1<=X<4,29.0,own,2,skilled,yes,yes,0
558,3552.0,4<=X<7,27.0,own,1,skilled,none,yes,0
559,1928.0,<1,31.0,own,2,unskilled resident,none,yes,0
560,2964.0,>=7,49.0,for free,1,skilled,yes,yes,1
561,1546.0,4<=X<7,24.0,rent,1,unskilled resident,none,yes,0
562,683.0,<1,29.0,own,1,skilled,none,yes,1
563,12389.0,1<=X<4,37.0,for free,1,skilled,yes,yes,0
564,4712.0,1<=X<4,37.0,own,2,high qualif/self emp/mgmt,yes,yes,1
565,1553.0,4<=X<7,23.0,rent,2,skilled,yes,yes,1
566,1372.0,4<=X<7,36.0,own,1,skilled,none,yes,0
567,2578.0,>=7,34.0,own,1,skilled,none,yes,1
568,3979.0,4<=X<7,41.0,own,2,skilled,yes,yes,1
569,6758.0,1<=X<4,31.0,own,1,skilled,yes,yes,0
570,3234.0,<1,23.0,rent,1,unskilled resident,yes,yes,0
571,5954.0,4<=X<7,38.0,own,1,skilled,none,yes,1
572,5433.0,unemployed,26.0,rent,1,high qualif/self emp/mgmt,yes,yes,1
573,806.0,1<=X<4,22.0,own,1,unskilled resident,none,yes,1
574,1082.0,>=7,27.0,own,2,unskilled resident,none,yes,1
575,2788.0,4<=X<7,24.0,own,2,skilled,none,yes,1
576,2930.0,4<=X<7,27.0,own,1,skilled,none,yes,1
577,1927.0,1<=X<4,33.0,own,2,skilled,yes,yes,1
578,2820.0,<1,27.0,own,2,skilled,none,yes,0
579,937.0,<1,27.0,own,2,unskilled resident,none,yes,1
580,1056.0,>=7,30.0,own,2,skilled,none,yes,0
581,3124.0,<1,49.0,own,2,unskilled resident,none,yes,1
582,1388.0,1<=X<4,26.0,rent,1,skilled,none,yes,1
583,2384.0,<1,33.0,rent,1,unskilled resident,none,yes,0
584,2133.0,>=7,52.0,for free,1,high qualif/self emp/mgmt,yes,yes,1
585,2039.0,1<=X<4,20.0,rent,1,skilled,none,yes,0
586,2799.0,1<=X<4,36.0,rent,2,skilled,none,yes,1
587,1289.0,1<=X<4,21.0,own,1,unskilled resident,none,yes,1
588,1217.0,1<=X<4,47.0,own,1,unskilled resident,yes,yes,0
589,2246.0,>=7,60.0,own,2,skilled,none,yes,0
590,385.0,4<=X<7,58.0,own,4,unskilled resident,yes,yes,1
591,1965.0,1<=X<4,42.0,rent,2,skilled,yes,yes,1
592,1572.0,>=7,36.0,own,1,unskilled resident,none,yes,1
593,2718.0,1<=X<4,20.0,rent,1,unskilled resident,yes,yes,0
594,1358.0,>=7,40.0,own,1,high qualif/self emp/mgmt,yes,yes,0
595,931.0,<1,32.0,own,1,unskilled resident,none,yes,0
596,1442.0,4<=X<7,23.0,rent,2,skilled,none,yes,0
597,4241.0,1<=X<4,36.0,own,3,unskilled resident,yes,yes,0
598,2775.0,4<=X<7,31.0,own,2,skilled,none,yes,0
599,3863.0,1<=X<4,32.0,for free,1,skilled,none,yes,1
600,2329.0,<1,45.0,own,1,skilled,none,yes,1
601,918.0,1<=X<4,30.0,own,1,skilled,none,yes,0
602,1837.0,4<=X<7,34.0,for free,1,unskilled resident,none,yes,0
603,3349.0,1<=X<4,28.0,own,1,high qualif/self emp/mgmt,yes,yes,0
604,1275.0,<1,23.0,own,1,skilled,none,yes,1
605,2828.0,1<=X<4,22.0,own,1,skilled,yes,yes,1
606,4526.0,1<=X<4,74.0,own,1,high qualif/self emp/mgmt,yes,yes,1
607,2671.0,1<=X<4,50.0,for free,1,skilled,none,yes,0
608,2051.0,<1,33.0,own,1,skilled,none,yes,1
609,1300.0,>=7,45.0,for free,1,skilled,none,yes,1
610,741.0,unemployed,22.0,own,1,skilled,none,yes,0
611,1240.0,>=7,48.0,for free,1,unskilled resident,none,yes,0
612,3357.0,<1,29.0,own,1,skilled,none,yes,1
613,3632.0,1<=X<4,22.0,rent,1,skilled,none,no,1
614,1808.0,4<=X<7,22.0,own,1,skilled,none,yes,0
615,12204.0,1<=X<4,48.0,own,1,high qualif/self emp/mgmt,yes,yes,1
616,9157.0,1<=X<4,27.0,for free,1,high qualif/self emp/mgmt,none,yes,1
617,3676.0,1<=X<4,37.0,rent,3,skilled,none,yes,1
618,3441.0,1<=X<4,21.0,rent,1,skilled,none,yes,0
619,640.0,1<=X<4,49.0,own,1,unskilled resident,none,yes,1
620,3652.0,4<=X<7,27.0,own,2,skilled,none,yes,1
621,1530.0,1<=X<4,32.0,own,2,skilled,none,yes,0
622,3914.0,1<=X<4,38.0,own,1,skilled,none,yes,0
623,1858.0,<1,22.0,rent,1,skilled,none,yes,1
624,2600.0,1<=X<4,65.0,for free,2,skilled,none,yes,0
625,1979.0,>=7,35.0,own,1,skilled,none,yes,1
626,2116.0,1<=X<4,41.0,own,1,skilled,yes,yes,1
627,1437.0,4<=X<7,29.0,own,1,skilled,none,yes,0
628,4042.0,1<=X<4,36.0,own,2,skilled,yes,yes,1
629,3832.0,>=7,64.0,own,1,unskilled resident,none,yes,1
630,3660.0,1<=X<4,28.0,own,1,skilled,none,yes,1
631,1553.0,1<=X<4,44.0,own,1,skilled,none,yes,0
632,1444.0,<1,23.0,own,1,skilled,none,yes,1
633,1980.0,<1,19.0,rent,2,skilled,none,yes,0
634,1355.0,<1,25.0,own,1,unskilled resident,yes,yes,0
635,1393.0,>=7,47.0,own,3,skilled,yes,yes,1
636,1376.0,4<=X<7,28.0,own,1,skilled,none,yes,1
637,15653.0,4<=X<7,21.0,own,2,skilled,yes,yes,1
638,1493.0,<1,34.0,own,1,skilled,none,yes,1
639,4370.0,4<=X<7,26.0,own,2,skilled,yes,yes,0
640,750.0,unemployed,27.0,own,1,unemp/unskilled non res,none,yes,0
641,1308.0,>=7,38.0,own,2,unskilled resident,none,yes,1
642,4623.0,1<=X<4,40.0,own,1,high qualif/self emp/mgmt,yes,yes,0
643,1851.0,4<=X<7,33.0,own,2,skilled,yes,yes,1
644,1880.0,4<=X<7,32.0,own,2,high qualif/self emp/mgmt,yes,yes,1
645,7980.0,<1,27.0,rent,2,skilled,yes,yes,0
646,4583.0,1<=X<4,32.0,own,2,skilled,none,yes,1
647,1386.0,1<=X<4,26.0,own,1,skilled,none,yes,0
648,947.0,4<=X<7,38.0,for free,1,skilled,none,yes,0
649,684.0,1<=X<4,40.0,rent,1,unskilled resident,none,yes,0
650,7476.0,4<=X<7,50.0,for free,1,high qualif/self emp/mgmt,yes,yes,1
651,1922.0,1<=X<4,37.0,own,1,unskilled resident,none,yes,0
652,2303.0,>=7,45.0,own,1,skilled,none,yes,0
653,8086.0,>=7,42.0,own,4,high qualif/self emp/mgmt,yes,yes,0
654,2346.0,4<=X<7,35.0,own,2,skilled,yes,yes,1
655,3973.0,unemployed,22.0,for free,1,skilled,none,yes,1
656,888.0,>=7,41.0,own,1,unskilled resident,none,yes,0
657,10222.0,4<=X<7,37.0,own,1,skilled,yes,yes,1
658,4221.0,1<=X<4,28.0,own,2,skilled,none,yes,1
659,6361.0,>=7,41.0,own,1,skilled,yes,yes,1
660,1297.0,1<=X<4,23.0,rent,1,skilled,none,yes,1
661,900.0,1<=X<4,23.0,own,1,skilled,none,yes,0
662,2241.0,>=7,50.0,own,2,skilled,none,yes,1
663,1050.0,unemployed,35.0,own,2,high qualif/self emp/mgmt,yes,yes,1
664,1047.0,1<=X<4,50.0,own,1,unskilled resident,none,yes,1
665,6314.0,unemployed,27.0,own,2,high qualif/self emp/mgmt,yes,yes,1
666,3496.0,1<=X<4,34.0,own,1,skilled,yes,yes,1
667,3609.0,1<=X<4,27.0,own,1,skilled,none,yes,1
668,4843.0,>=7,43.0,rent,2,skilled,yes,yes,0
669,3017.0,>=7,47.0,own,1,skilled,none,yes,1
670,4139.0,1<=X<4,27.0,own,2,unskilled resident,yes,yes,1
671,5742.0,4<=X<7,31.0,own,2,skilled,yes,yes,1
672,10366.0,>=7,42.0,own,1,high qualif/self emp/mgmt,yes,yes,1
673,2080.0,1<=X<4,24.0,own,1,skilled,none,yes,1
674,2580.0,<1,41.0,own,1,unskilled resident,none,yes,0
675,4530.0,4<=X<7,26.0,rent,1,high qualif/self emp/mgmt,yes,yes,1
676,5150.0,>=7,33.0,own,1,skilled,yes,yes,1
677,5595.0,1<=X<4,24.0,own,1,skilled,none,yes,0
678,2384.0,>=7,64.0,rent,1,unskilled resident,none,yes,1
679,1453.0,<1,26.0,own,1,skilled,none,yes,1
680,1538.0,<1,56.0,own,1,skilled,none,yes,1
681,2279.0,1<=X<4,37.0,for free,1,skilled,yes,yes,1
682,1478.0,1<=X<4,33.0,own,2,skilled,none,yes,1
683,5103.0,<1,47.0,for free,3,skilled,yes,yes,1
684,9857.0,4<=X<7,31.0,own,2,unskilled resident,yes,yes,1
685,6527.0,1<=X<4,34.0,for free,1,skilled,yes,yes,1
686,1347.0,4<=X<7,27.0,own,2,skilled,yes,yes,1
687,2862.0,>=7,30.0,for free,1,skilled,none,yes,1
688,2753.0,>=7,35.0,own,1,skilled,yes,yes,1
689,3651.0,1<=X<4,31.0,own,1,skilled,none,yes,1
690,975.0,1<=X<4,25.0,own,2,skilled,none,yes,1
691,2631.0,1<=X<4,25.0,own,1,unskilled resident,none,yes,1
692,2896.0,<1,29.0,own,1,skilled,none,yes,1
693,4716.0,<1,44.0,own,2,unskilled resident,none,yes,1
694,2284.0,4<=X<7,28.0,own,1,skilled,yes,yes,1
695,1236.0,1<=X<4,50.0,rent,1,skilled,none,yes,1
696,1103.0,4<=X<7,29.0,own,2,skilled,none,no,1
697,926.0,unemployed,38.0,own,1,unemp/unskilled non res,none,yes,1
698,1800.0,1<=X<4,24.0,own,2,skilled,none,yes,1
699,1905.0,>=7,40.0,rent,1,high qualif/self emp/mgmt,yes,yes,1
700,1123.0,1<=X<4,29.0,rent,1,unskilled resident,none,yes,0
701,6331.0,>=7,46.0,for free,2,skilled,yes,yes,0
702,1377.0,>=7,47.0,for free,1,skilled,yes,yes,1
703,2503.0,>=7,41.0,own,2,skilled,none,yes,1
704,2528.0,<1,32.0,own,1,skilled,yes,yes,1
705,5324.0,>=7,35.0,for free,1,skilled,none,yes,1
706,6560.0,4<=X<7,24.0,own,1,skilled,none,yes,0
707,2969.0,<1,25.0,rent,2,skilled,none,yes,0
708,1206.0,>=7,25.0,own,1,skilled,none,yes,1
709,2118.0,1<=X<4,37.0,own,1,unskilled resident,none,yes,1
710,629.0,>=7,32.0,own,2,high qualif/self emp/mgmt,yes,yes,1
711,1198.0,>=7,35.0,for free,1,skilled,none,yes,0
712,2476.0,>=7,46.0,own,1,high qualif/self emp/mgmt,yes,yes,1
713,1138.0,1<=X<4,25.0,own,2,unskilled resident,none,yes,1
714,14027.0,4<=X<7,27.0,own,1,high qualif/self emp/mgmt,yes,yes,0
715,7596.0,>=7,63.0,own,2,skilled,none,yes,1
716,3077.0,>=7,40.0,own,2,skilled,yes,yes,1
717,1505.0,1<=X<4,32.0,for free,1,high qualif/self emp/mgmt,yes,yes,1
718,3148.0,1<=X<4,31.0,own,2,skilled,yes,yes,1
719,6148.0,>=7,31.0,own,2,skilled,yes,yes,1
720,1337.0,<1,34.0,own,2,high qualif/self emp/mgmt,yes,yes,0
721,433.0,<1,24.0,rent,1,skilled,none,yes,0
722,1228.0,1<=X<4,24.0,own,1,unskilled resident,none,yes,0
723,790.0,1<=X<4,66.0,own,1,unskilled resident,none,yes,1
724,2570.0,1<=X<4,21.0,rent,1,skilled,none,yes,0
725,250.0,1<=X<4,41.0,own,2,unskilled resident,none,yes,1
726,1316.0,1<=X<4,47.0,own,2,unskilled resident,none,yes,1
727,1882.0,1<=X<4,25.0,rent,2,skilled,none,yes,0
728,6416.0,>=7,59.0,rent,1,skilled,none,yes,0
729,1275.0,1<=X<4,36.0,own,2,skilled,yes,yes,1
730,6403.0,<1,33.0,own,1,skilled,none,yes,1
731,1987.0,1<=X<4,21.0,rent,1,unskilled resident,none,yes,0
732,760.0,4<=X<7,44.0,own,1,unskilled resident,none,yes,1
733,2603.0,1<=X<4,28.0,rent,1,skilled,yes,yes,1
734,3380.0,4<=X<7,37.0,own,1,skilled,none,yes,1
735,3990.0,<1,29.0,own,1,unemp/unskilled non res,none,yes,1
736,11560.0,1<=X<4,23.0,rent,2,high qualif/self emp/mgmt,none,yes,0
737,4380.0,1<=X<4,35.0,own,1,unskilled resident,yes,yes,1
738,6761.0,4<=X<7,45.0,own,2,high qualif/self emp/mgmt,yes,yes,1
739,4280.0,1<=X<4,26.0,rent,2,unskilled resident,none,yes,0
740,2325.0,4<=X<7,32.0,own,1,skilled,none,yes,1
741,1048.0,1<=X<4,23.0,own,1,unskilled resident,none,yes,1
742,3160.0,>=7,41.0,own,1,skilled,yes,yes,1
743,2483.0,1<=X<4,22.0,own,1,skilled,yes,yes,1
744,14179.0,4<=X<7,30.0,own,2,high qualif/self emp/mgmt,yes,yes,1
745,1797.0,<1,28.0,own,2,unskilled resident,none,yes,1
746,2511.0,unemployed,23.0,rent,1,skilled,none,yes,1
747,1274.0,<1,37.0,own,1,unskilled resident,none,yes,0
748,5248.0,1<=X<4,26.0,own,1,skilled,none,yes,1
749,3029.0,4<=X<7,33.0,own,1,skilled,none,yes,1
750,428.0,>=7,49.0,own,1,skilled,yes,yes,1
751,976.0,<1,23.0,own,1,unskilled resident,none,yes,0
752,841.0,4<=X<7,23.0,rent,1,unskilled resident,none,yes,1
753,5771.0,4<=X<7,25.0,own,2,skilled,none,yes,1
754,1555.0,>=7,55.0,for free,2,skilled,none,yes,0
755,1285.0,4<=X<7,32.0,rent,1,skilled,none,yes,0
756,1299.0,1<=X<4,74.0,own,3,unemp/unskilled non res,none,no,1
757,1271.0,1<=X<4,39.0,for free,2,skilled,yes,yes,0
758,1393.0,1<=X<4,31.0,own,1,skilled,yes,yes,1
759,691.0,>=7,35.0,own,2,skilled,none,yes,0
760,5045.0,>=7,59.0,own,1,skilled,yes,yes,1
761,2124.0,1<=X<4,24.0,rent,2,skilled,none,yes,0
762,2214.0,1<=X<4,24.0,own,1,unskilled resident,none,yes,1
763,12680.0,>=7,30.0,for free,1,high qualif/self emp/mgmt,yes,yes,0
764,2463.0,4<=X<7,27.0,own,2,skilled,yes,yes,1
765,1155.0,>=7,40.0,own,2,unskilled resident,none,yes,1
766,3108.0,<1,31.0,own,1,unskilled resident,none,yes,0
767,2901.0,<1,31.0,rent,1,skilled,none,yes,1
768,3617.0,>=7,28.0,rent,3,skilled,yes,yes,1
769,1655.0,>=7,63.0,own,2,unskilled resident,yes,yes,1
770,2812.0,>=7,26.0,rent,1,skilled,none,yes,1
771,8065.0,1<=X<4,25.0,own,2,high qualif/self emp/mgmt,yes,yes,0
772,3275.0,>=7,36.0,own,1,high qualif/self emp/mgmt,yes,yes,1
773,2223.0,>=7,52.0,own,2,skilled,none,yes,1
774,1480.0,unemployed,66.0,for free,3,unemp/unskilled non res,none,yes,1
775,1371.0,1<=X<4,25.0,rent,1,skilled,none,yes,0
776,3535.0,4<=X<7,37.0,own,2,skilled,yes,yes,1
777,3509.0,4<=X<7,25.0,own,1,skilled,none,yes,1
778,5711.0,>=7,38.0,own,2,high qualif/self emp/mgmt,yes,yes,1
779,3872.0,unemployed,67.0,own,1,skilled,yes,yes,1
780,4933.0,4<=X<7,25.0,own,2,skilled,none,yes,0
781,1940.0,>=7,60.0,own,1,skilled,yes,yes,1
782,1410.0,1<=X<4,31.0,own,1,unskilled resident,yes,yes,1
783,836.0,<1,23.0,own,1,unskilled resident,none,yes,0
784,6468.0,unemployed,60.0,own,1,high qualif/self emp/mgmt,yes,yes,1
785,1941.0,1<=X<4,35.0,own,1,unskilled resident,yes,yes,1
786,2675.0,>=7,40.0,own,1,skilled,none,yes,1
787,2751.0,>=7,38.0,own,2,skilled,yes,yes,1
788,6224.0,>=7,50.0,for free,1,skilled,none,yes,0
789,5998.0,1<=X<4,27.0,own,1,skilled,yes,yes,0
790,1188.0,>=7,39.0,own,1,skilled,none,yes,0
791,6313.0,>=7,41.0,own,1,high qualif/self emp/mgmt,yes,yes,1
792,1221.0,1<=X<4,27.0,own,2,skilled,none,yes,1
793,2892.0,>=7,51.0,for free,1,skilled,none,yes,1
794,3062.0,>=7,32.0,rent,1,skilled,yes,yes,1
795,2301.0,<1,22.0,rent,1,skilled,none,yes,1
796,7511.0,>=7,51.0,for free,1,skilled,yes,yes,0
797,1258.0,<1,22.0,rent,2,unskilled resident,none,yes,1
798,717.0,>=7,54.0,own,2,skilled,yes,yes,1
799,1549.0,<1,35.0,own,1,unemp/unskilled non res,none,yes,1
800,1597.0,>=7,54.0,for free,2,skilled,none,yes,1
801,1795.0,>=7,48.0,rent,2,unskilled resident,yes,yes,1
802,4272.0,>=7,24.0,own,2,skilled,none,yes,1
803,976.0,>=7,35.0,own,2,skilled,none,yes,1
804,7472.0,unemployed,24.0,rent,1,unemp/unskilled non res,none,yes,1
805,9271.0,4<=X<7,24.0,own,1,skilled,yes,yes,0
806,590.0,<1,26.0,own,1,unskilled resident,none,no,1
807,930.0,>=7,65.0,own,4,skilled,none,yes,1
808,9283.0,unemployed,55.0,for free,1,high qualif/self emp/mgmt,yes,yes,1
809,1778.0,<1,26.0,rent,2,unemp/unskilled non res,none,yes,0
810,907.0,<1,26.0,own,1,skilled,yes,yes,1
811,484.0,4<=X<7,28.0,own,1,unskilled resident,none,yes,1
812,9629.0,4<=X<7,24.0,own,2,skilled,yes,yes,0
